Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
38,0.8908,0.8735,-0.09691842,0.13184093,0.034922507,1.0,0.4,0.2945889546331449,0.4,597.4758214950562,0.31016618,0.005215686,86000,1.0,0.325,86000.0,0.5854793,0.66132164,0.6,0.85796946,0.51683193,-8.269723,-7.971282,0.17979728,-0.35489258,-0.51082563,6.0943613,76000.0,-8.269723,-7.8073807,-7.856529,-7.796218,-8.09427,-8.207752,-7.8073807,-8.269969,0.086,1720.0,-0.53578126
39,0.888,0.899,-0.092415154,0.1360745,0.043659348,1.0,0.4,0.40830138009739686,0.18,612.8155951499939,0.30983466,0.0052260756,88000,1.0,0.275,88000.0,0.58532214,0.6611488,0.6,0.85857433,0.5761191,-8.430276,-8.156142,0.1690622,-0.34401757,-0.51082563,6.1251135,78000.0,-8.430276,-7.9799027,-8.024895,-7.966249,-8.264409,-8.373429,-7.9799027,-8.430647,0.088,1760.0,-0.5360547
40,0.8788,0.8865,-0.089264914,0.13637938,0.04711447,1.0,0.4,0.2810170203388072,0.16,628.483357667923,0.3108831,0.005226908,90000,1.0,0.225,90000.0,0.5851783,0.6609822,0.6,0.85813344,0.624011,-8.607884,-8.360137,0.16334362,-0.33512303,-0.51082563,6.104711,80000.0,-8.607884,-8.171694,-8.215529,-8.159185,-8.454856,-8.557979,-8.171694,-8.608162,0.09,1800.0,-0.53631836
41,0.8824,0.889,-0.08376662,0.14414574,0.060379114,1.0,0.4,0.3604207463355937,0.12,643.4952144622803,0.31146607,0.00523503,92000,1.0,0.275,92000.0,0.5857242,0.6615648,0.6,0.8583735,0.68702537,-8.784717,-8.565551,0.15628451,-0.3249492,-0.51082563,6.116033,82000.0,-8.784717,-8.362049,-8.401273,-8.346305,-8.640999,-8.740387,-8.362049,-8.785051,0.092,1840.0,-0.53539646
42,0.8844,0.877,-0.08063082,0.13697326,0.05634246,1.0,0.4,0.2531592221651655,0.28,658.8141114711761,0.31174543,0.005232728,94000,1.0,0.425,94000.0,0.5845824,0.6603562,0.6,0.8586825,0.7190596,-8.974138,-8.771335,0.14742833,-0.31935155,-0.51082563,6.1308846,84000.0,-8.974138,-8.5671625,-8.605157,-8.553479,-8.84657,-8.937604,-8.5671625,-8.974464,0.094,1880.0,-0.5373086
43,0.8764,0.9015,-0.08016706,0.14268075,0.0625137,1.0,0.4,0.28198865179886107,0.38,674.3001661300659,0.31214118,0.0052301637,96000,1.0,0.5,96000.0,0.58485377,0.66062284,0.6,0.8586082,0.6906412,-9.18058,-8.975125,0.14583369,-0.317125,-0.51082563,6.1305995,86000.0,-9.18058,-8.78116,-8.819325,-8.768282,-9.061375,-9.150302,-8.78116,-9.180936,0.096,1920.0,-0.5368867
44,0.8836,0.8885,-0.07771894,0.14170063,0.063981675,1.0,0.4,0.2531952857141797,0.38,689.529224395752,0.3103338,0.00522257,98000,1.0,0.45,98000.0,0.58532506,0.6611328,0.6,0.85863686,0.722586,-9.346541,-9.155723,0.14286265,-0.31012306,-0.51082563,6.128885,88000.0,-9.346541,-8.954316,-8.992033,-8.942064,-9.234399,-9.320735,-8.954316,-9.346787,0.098,1960.0,-0.53608006
45,0.898,0.8875,-0.0745395,0.14342734,0.06888783,1.0,0.4,0.27246920876560543,0.36,704.9110133647919,0.31024775,0.005219803,100000,1.0,0.375,100000.0,0.58533525,0.6611476,0.6,0.858821,0.73943424,-9.527227,-9.354516,0.13646728,-0.30387697,-0.51082563,6.137824,90000.0,-9.527227,-9.144116,-9.181024,-9.132307,-9.423938,-9.507259,-9.144116,-9.527551,0.1,2000.0,-0.53605664
46,0.8996,0.878,-0.07228813,0.15092424,0.0786361,1.0,0.4,0.6198129480841104,0.34,719.9311254024506,0.31153607,0.0052242526,102000,1.0,0.325,102000.0,0.58452857,0.6602845,0.6,0.8586262,0.7621008,-9.749486,-9.599541,0.13542889,-0.2977656,-0.51082563,6.1301327,92000.0,-9.749486,-9.373664,-9.408563,-9.36072,-9.652395,-9.73349,-9.373664,-9.749841,0.102,2040.0,-0.5374219
47,0.8876,0.886,-0.06892778,0.14748123,0.07855345,1.0,0.4,0.5282217654138813,0.36,735.2927687168121,0.31153193,0.0052233604,104000,1.0,0.425,104000.0,0.5853026,0.6611118,0.6,0.85861987,0.75379604,-9.945303,-9.794228,0.12822315,-0.29283202,-0.51082563,6.1311307,94000.0,-9.945303,-9.579361,-9.614629,-9.568539,-9.859771,-9.936152,-9.579361,-9.945642,0.104,2080.0,-0.53611326
