Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
23,0.98852,0.9865,0.05561671,3.6808426,3.7364595,1.0,0.14,0.5479445433616639,0.0,4800.565234899521,4.1420307,0.0069424603,560000,1.0,0.0,560000.0,0.61590725,0.6933259,0.5,0.9800969,0.87499744,-30.071484,-30.467625,-0.20063883,-0.17260118,-0.69314724,49.91265,460000.0,-30.071484,-30.141829,-28.911238,-28.805607,-29.35632,-29.55591,-30.141829,-30.072063,0.56,1120.0,-0.48515138
24,0.98788,0.9871,0.055161458,3.638464,3.6936257,1.0,0.14,0.48171541586518285,0.0,5002.182663679123,4.151681,0.0069581466,580000,1.0,0.0,580000.0,0.6157563,0.6931662,0.5,0.9800678,23.366808,-29.950394,-30.35496,-0.19354367,-0.16746269,-0.69314724,49.835007,480000.0,-29.950394,-30.018713,-28.807156,-28.703585,-29.24631,-29.441387,-30.018713,-29.95097,0.58,1160.0,-0.4854039
25,0.98852,0.98335,0.055964965,3.5977628,3.653728,1.0,0.14,0.45712641403079035,0.0,5203.809243917465,4.1514916,0.00694944,600000,1.0,0.0,600000.0,0.61602396,0.69344795,0.5,0.980064,0.97291,-29.862041,-30.265345,-0.18382551,-0.16311485,-0.69314724,49.83461,500000.0,-29.862041,-29.929,-28.734875,-28.633316,-29.166262,-29.35674,-29.929,-29.862722,0.6,1200.0,-0.4849582
26,0.98856,0.98455,0.057168152,3.644393,3.7015612,1.0,0.14,0.5847948928177357,0.0,5406.166671991348,4.1658673,0.0069879713,620000,1.0,0.0,620000.0,0.61579245,0.693208,0.5,0.9801117,51.771954,-29.988194,-30.402775,-0.18791151,-0.15815195,-0.69314724,49.9374,520000.0,-29.988194,-30.055593,-28.855274,-28.754103,-29.281832,-29.471691,-30.055593,-29.988874,0.62,1240.0,-0.48533788
27,0.98848,0.9827,0.059582092,3.7465484,3.806131,1.0,0.14,0.7063067814707756,0.0,5608.038480043411,4.1631327,0.0069770324,640000,1.0,0.0,640000.0,0.61580986,0.69323117,0.5,0.98009294,0.93218577,-30.174341,-30.599512,-0.19339582,-0.1551703,-0.69314724,49.900097,540000.0,-30.174341,-30.24491,-29.030363,-28.929228,-29.450956,-29.6416,-30.24491,-30.175056,0.64,1280.0,-0.48530117
28,0.98588,0.985,0.061378296,3.8855402,3.9469182,1.0,0.14,0.530095467865467,0.0,5810.731200456619,4.1820364,0.007019507,660000,1.0,0.0,660000.0,0.6158377,0.6932539,0.5,0.98008436,1.7459166,-30.48759,-30.931705,-0.19605927,-0.15292187,-0.69314724,49.87886,560000.0,-30.48759,-30.564638,-29.333652,-29.232288,-29.748924,-29.941168,-30.564638,-30.488407,0.66,1320.0,-0.48526523
29,0.98848,0.9854,0.062371507,4.026712,4.0890837,1.0,0.14,0.5800373387336731,0.0,6014.431905508041,4.1844263,0.0070136213,680000,1.0,0.0,680000.0,0.6157563,0.69317716,0.5,0.9801004,6.692904,-30.73112,-31.190834,-0.20731898,-0.15314122,-0.69314724,49.916325,580000.0,-30.73112,-30.810528,-29.566093,-29.464144,-29.977077,-30.170635,-30.810528,-30.731894,0.68,1360.0,-0.48538652
30,0.98856,0.98645,0.072897226,4.4330955,4.505993,1.0,0.14,0.5052011859416962,0.0,6218.016716241837,4.1818495,0.0070063383,700000,1.0,0.0,700000.0,0.6155916,0.6930068,0.5,0.980101,0.945,-31.11885,-31.615353,-0.24338806,-0.15391113,-0.69314724,49.91437,600000.0,-31.11885,-31.203648,-29.86375,-29.75658,-30.273788,-30.48015,-31.203648,-31.119616,0.7,1400.0,-0.48565605
31,0.98876,0.9823,0.07548375,4.7890587,4.864543,1.0,0.14,0.4951066955924034,0.0,6422.146893024445,4.1934977,0.0070362817,720000,1.0,0.0,720000.0,0.6157009,0.6931163,0.5,0.9800782,0.93235683,-31.39273,-31.88782,-0.24554302,-0.15974316,-0.69314724,49.859398,620000.0,-31.39273,-31.476143,-30.115828,-30.006304,-30.525415,-30.736816,-31.476143,-31.393425,0.72,1440.0,-0.4854828
32,0.98816,0.9846,0.08173757,5.1450415,5.2267795,1.0,0.14,0.5041900217533112,0.0,6624.680514574051,4.1753187,0.0070047444,740000,1.0,0.0,740000.0,0.61568916,0.6931005,0.5,0.98008007,1.2208736,-31.593369,-32.118702,-0.2683101,-0.16161719,-0.69314724,49.879227,640000.0,-31.593369,-31.678347,-30.254282,-30.140484,-30.663074,-30.883379,-31.678347,-31.594025,0.74,1480.0,-0.48550782
33,0.98856,0.98635,0.08546015,5.5318885,5.6173487,1.0,0.14,0.653036796450615,0.0,6828.87331867218,4.2051253,0.0070608347,760000,1.0,0.0,760000.0,0.6156502,0.6930619,0.5,0.9800836,1.1233736,-31.73679,-32.281387,-0.27955374,-0.16593184,-0.69314724,49.875256,660000.0,-31.73679,-31.818157,-30.363115,-30.246288,-30.772497,-30.998634,-31.818157,-31.737307,0.76,1520.0,-0.48556894
34,0.98876,0.986,0.090834536,5.957767,6.0486016,1.0,0.14,0.5853705495595932,0.0,7032.945741891861,4.200776,0.0070513017,780000,1.0,0.0,780000.0,0.6159569,0.6933808,0.5,0.98007435,1.292228,-31.990162,-32.556046,-0.29854044,-0.17054844,-0.69314724,49.855576,680000.0,-31.990162,-32.07606,-30.57095,-30.449919,-30.980547,-31.215794,-32.07606,-31.990725,0.78,1560.0,-0.48506445
35,0.98884,0.9858,0.096093796,6.467677,6.5637717,1.0,0.14,0.5756175649166108,0.0,7235.386831283569,4.160559,0.006980683,800000,1.0,0.0,800000.0,0.61557347,0.69298744,0.5,0.9801048,1.6631922,-32.17057,-32.777424,-0.31949216,-0.17362304,-0.69314724,49.924355,700000.0,-32.17057,-32.25845,-30.697573,-30.573162,-31.103918,-31.345963,-32.25845,-32.171143,0.8,1600.0,-0.48568672
36,0.98816,0.9865,0.10069851,6.900535,7.0012336,1.0,0.14,0.5909026873111725,0.0,7436.751476049423,4.1446266,0.0069527696,820000,1.0,0.0,820000.0,0.61579436,0.6932184,0.5,0.98007274,0.98955446,-32.345623,-32.958107,-0.3316193,-0.18011796,-0.69314724,49.847855,720000.0,-32.345623,-32.431263,-30.825148,-30.696728,-31.2308,-31.481682,-32.431263,-32.346176,0.82,1640.0,-0.48532128
37,0.98936,0.9855,0.10138174,7.318479,7.4198604,1.0,0.14,0.533282533288002,0.0,7639.856738567352,4.175046,0.007012135,840000,1.0,0.0,840000.0,0.61575276,0.6931656,0.5,0.98008466,0.9580579,-32.23463,-32.83936,-0.33086416,-0.18886113,-0.69314724,49.8735,740000.0,-32.23463,-32.315655,-30.703175,-30.572594,-31.10849,-31.364304,-32.315655,-32.235054,0.84,1680.0,-0.48540488
38,0.98824,0.9858,0.10745532,7.7669287,7.8743844,1.0,0.14,0.4736996340751648,0.0,7842.697193622589,4.1835833,0.007029212,860000,1.0,0.0,860000.0,0.6159132,0.6933379,0.5,0.9800668,1.0074072,-31.939466,-32.560143,-0.3540744,-0.1933248,-0.69314724,49.84346,760000.0,-31.939466,-32.00984,-30.354616,-30.220013,-30.759779,-31.023434,-32.00984,-31.93985,0.86,1720.0,-0.48513222
39,0.9888,0.9853,0.11256063,8.161602,8.274162,1.0,0.14,0.630744566321373,0.0,8045.481713294983,4.1709185,0.007007459,880000,1.0,0.0,880000.0,0.6158346,0.69325733,0.5,0.9800589,6.7438846,-31.850166,-32.51565,-0.3817102,-0.19240098,-0.69314724,49.805336,780000.0,-31.850166,-31.924469,-30.19218,-30.05286,-30.601728,-30.874338,-31.924469,-31.850496,0.88,1760.0,-0.48525977
40,0.9862,0.9854,0.118910514,8.76491,8.883821,1.0,0.14,0.570846419930458,0.0,8248.77663731575,4.1887817,0.00703164,900000,1.0,0.0,900000.0,0.6156818,0.69309837,0.5,0.98011416,4.4974523,-31.912193,-32.62406,-0.41096655,-0.19503008,-0.69314724,49.944405,800000.0,-31.912193,-31.991518,-30.176573,-30.031387,-30.593725,-30.87646,-31.991518,-31.912546,0.9,1800.0,-0.48551112
41,0.98832,0.9757,0.1314143,9.37635,9.507763,1.0,0.14,0.5354298168420791,0.0,8450.400846719742,4.1301637,0.0069164825,920000,1.0,0.0,920000.0,0.61582804,0.6932418,0.5,0.9800795,6.11565,-32.188274,-32.917107,-0.4466941,-0.19339453,-0.69314724,49.867325,820000.0,-32.188274,-32.283165,-30.40655,-30.25769,-30.828154,-31.11657,-32.283165,-32.188652,0.92,1840.0,-0.4852844
42,0.98788,0.97605,0.13097261,9.861676,9.992648,1.0,0.14,0.5129989749193191,0.0,8652.067564249039,4.142803,0.006944354,940000,1.0,0.0,940000.0,0.6157178,0.6931362,0.5,0.9800932,1.4464952,-32.386856,-33.15488,-0.4647523,-0.19220567,-0.69314724,49.89633,840000.0,-32.386856,-32.49107,-30.591234,-30.441444,-31.018282,-31.306753,-32.49107,-32.387318,0.94,1880.0,-0.48545137
43,0.93056,0.974,0.13941981,10.288315,10.427736,0.94,0.14,0.4230353927612305,0.0,8854.343103170395,4.165431,0.0069861244,960000,0.975,0.0,960000.0,0.61586046,0.6932772,0.5,0.9800943,21.895687,-32.70958,-33.47555,-0.49760213,-0.1958127,-0.69314724,49.91345,860000.0,-32.70958,-32.825695,-30.875591,-30.721529,-31.3116,-31.608162,-32.825695,-32.71015,0.96,1920.0,-0.48522833
44,0.94816,0.97435,0.14446215,10.885555,11.030017,0.94,0.14,0.5406792995333671,0.0,9056.743766069412,4.1549177,0.006975875,980000,1.0,0.0,980000.0,0.61575794,0.6931745,0.5,0.9801032,26.657042,-33.265396,-34.06407,-0.5334752,-0.19773652,-0.69314724,49.925034,880000.0,-33.265396,-33.394203,-31.37223,-31.213669,-31.816126,-32.12207,-33.394203,-33.265774,0.98,1960.0,-0.4853908
45,0.9868,0.9835,0.14607742,11.262337,11.408414,1.0,0.14,0.5102417865395545,0.0,9259.48397898674,4.1699204,0.007000147,1000000,1.0,0.0,1000000.0,0.61589694,0.69331557,0.5,0.9800967,34656514000.0,-33.922295,-34.741283,-0.5560303,-0.19657949,-0.69314724,49.91969,900000.0,-33.922295,-34.071087,-32.01871,-31.855831,-32.48058,-32.7968,-34.071087,-33.92268,1.0,2000.0,-0.4851676
