Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
24,0.0,0.0381,0.11588236,5.068088,5.1839705,0.0,0.0,0.21420807,0.0,4057.1609256267548,3.2325885,0.0051413244,580000,0.1,0.0,580000.0,0.61574036,0.6931562,0.5,0.98009855,2.4642987,-33.11458,-33.654022,-0.43126762,-0.18698652,-0.69314724,49.90156,480000.0,-33.11458,-33.276394,-31.556465,-31.410013,-32.015205,-32.32482,-33.276394,-33.114834,0.58,1160.0,-0.48541972
25,0.0,0.17365,0.110711575,5.009782,5.1204934,0.0,0.0,0.21421802,0.0,4220.8104596138,3.2238102,0.0051343227,600000,0.275,0.0,600000.0,0.61583114,0.6932502,0.5,0.9800973,1.5197557,-33.532337,-34.040802,-0.4061401,-0.19241464,-0.69314724,49.913605,500000.0,-33.532337,-33.69863,-32.042717,-31.89845,-32.493168,-32.8,-33.69863,-33.532803,0.6,1200.0,-0.4852711
26,0.0,0.22135,0.1084063,5.050825,5.159231,0.0,0.0,0.21421495,0.0,4385.300044298172,3.2262466,0.0051424084,620000,0.325,0.0,620000.0,0.6156198,0.69303703,0.5,0.9801079,3.3354897,-34.019062,-34.510674,-0.38719282,-0.19462891,-0.69314724,49.929787,520000.0,-34.019062,-34.19432,-32.557766,-32.414173,-33.01273,-33.318775,-34.19432,-34.019695,0.62,1240.0,-0.4856084
27,0.0,0.17875,0.10148946,4.8426294,4.944119,0.0,0.0,0.21422058,0.0,4548.378406524658,3.2143044,0.005121898,640000,0.275,0.025,640000.0,0.61591923,0.69333905,0.5,0.9800953,2.1266952,-33.879917,-34.29747,-0.33820018,-0.19893008,-0.69314724,49.914867,540000.0,-33.879917,-34.053288,-32.506058,-32.367355,-32.96702,-33.260326,-34.053288,-33.880627,0.64,1280.0,-0.48513046
28,0.0,0.34065,0.089579955,4.571714,4.661294,0.0,0.0,0.21419643,0.0,4711.644465684891,3.2251344,0.0051376713,660000,0.625,0.0,660000.0,0.6158213,0.69324505,0.5,0.98010194,1.4209479,-33.266804,-33.631542,-0.28028888,-0.20076074,-0.69314724,49.921055,560000.0,-33.266804,-33.42691,-32.006317,-31.874882,-32.472115,-32.745773,-33.42691,-33.26759,0.66,1320.0,-0.4852791
29,0.0,0.28715,0.07067634,4.246631,4.317308,0.0,0.0,0.21422088,0.0,4874.779827833176,3.215634,0.0051188315,680000,0.5,0.0,680000.0,0.61577845,0.6931974,0.5,0.9800916,116.91261,-32.64001,-32.989906,-0.21657561,-0.19521269,-0.69314724,49.89313,580000.0,-32.64001,-32.793774,-31.489584,-31.367731,-31.960016,-32.207317,-32.793774,-32.64074,0.68,1360.0,-0.48535448
30,0.0,0.3852,0.05827431,3.8711421,3.9294164,0.0,0.0,0.21418789,0.0,5037.575096845627,3.2199454,0.0051257038,700000,0.525,0.0,700000.0,0.6157517,0.69317126,0.5,0.98011535,2.6023064,-32.296375,-32.6697,-0.18812965,-0.18806583,-0.69314724,49.954365,600000.0,-32.296375,-32.44743,-31.186771,-31.070318,-31.659279,-31.890457,-32.44743,-32.297234,0.7,1400.0,-0.4853959
31,0.0,0.27025,0.04685693,3.5930831,3.6399403,0.0,0.0,0.21424545,0.0,5201.77205491066,3.242284,0.0051610875,720000,0.35,0.0,720000.0,0.6156886,0.6931073,0.5,0.98011005,6.1137877,-32.45642,-32.88277,-0.16478613,-0.17303184,-0.69314724,49.95121,620000.0,-32.45642,-32.61506,-31.319609,-31.206707,-31.788868,-32.01097,-32.61506,-32.45758,0.72,1440.0,-0.48549706
32,0.836,0.18985,0.042905267,3.469838,3.512743,1.0,0.0,0.5502703,0.0,5364.113989114761,3.208202,0.005104163,740000,0.275,0.0,740000.0,0.61583066,0.6932497,0.5,0.98007107,1.1942043,-32.98999,-33.466755,-0.15850878,-0.15957168,-0.69314724,49.848583,640000.0,-32.98999,-33.160576,-31.815443,-31.703384,-32.275906,-32.497044,-33.160576,-32.99119,0.74,1480.0,-0.48527187
33,0.908,0.26715,0.04395844,3.5076802,3.5516384,1.0,0.0,0.65178245,0.0,5526.79160451889,3.2119014,0.0051121283,760000,0.3,0.0,760000.0,0.6157122,0.69313127,0.5,0.98009074,1.3366497,-33.883564,-34.41338,-0.17246902,-0.14968282,-0.69314724,49.89224,660000.0,-33.883564,-34.072,-32.644497,-32.52969,-33.098183,-33.326668,-34.072,-33.884853,0.76,1520.0,-0.48545918
